,keyword,score
402,보수,4.462704e-09
403,요구,4.4548587e-09
404,소재,4.431508e-09
405,인원,4.4310338e-09
406,협의회,4.4200035e-09
407,자금,4.417978e-09
408,회계,4.414188e-09
409,준법,4.4125237e-09
410,전국,4.376893e-09
411,급사,4.3732817e-09
412,리더십,4.365836e-09
413,협의,4.3643515e-09
414,가이드라인,4.3643e-09
415,고충,4.3525294e-09
416,회수,4.3490607e-09
417,인터넷,4.3442014e-09
418,용수,4.3393e-09
419,모델,4.3351265e-09
420,별도,4.3213597e-09
421,캠페인,4.3042414e-09
422,모빌리티,4.286584e-09
423,식별,4.2688906e-09
424,방문,4.259661e-09
425,제외,4.2315698e-09
426,방송,4.1989954e-09
427,전파,4.1933443e-09
428,신고,4.1902775e-09
429,인사,4.185318e-09
430,법규,4.183406e-09
431,전화,4.1689097e-09
432,가이드,4.1669868e-09
433,소비,4.1612718e-09
434,향후,4.1454515e-09
435,세대,4.121691e-09
436,최적,4.1049244e-09
437,훈련,4.1001464e-09
438,자문,4.0972723e-09
439,인공지능,4.0655124e-09
440,재난,4.0623296e-09
441,동시,4.0580477e-09
442,추천,4.054524e-09
443,신설,4.053117e-09
444,등급,4.0525028e-09
445,마련,4.0503703e-09
446,변경,4.049366e-09
447,합계,4.01076e-09
448,총괄,4.0101438e-09
449,중립,4.0061536e-09
450,산정,4.0052845e-09
451,담당자,4.0050048e-09
452,주식,3.9996677e-09
453,선제,3.998622e-09
454,통제,3.9982258e-09
455,학습,3.9941335e-09
456,출시,3.9818646e-09
457,누적,3.9721444e-09
458,개최,3.9693524e-09
459,근로자,3.963418e-09
460,실무,3.9609804e-09
461,방향,3.9581955e-09
462,높이,3.9396824e-09
463,실사,3.911525e-09
464,지정,3.8816563e-09
465,주관,3.8735206e-09
466,위치,3.8734393e-09
467,봉사,3.864841e-09
468,제작,3.836889e-09
469,차원,3.8239474e-09
470,요인,3.81844e-09
471,심의,3.8172177e-09
472,미국,3.80725e-09
473,시작,3.798307e-09
474,선임,3.7845083e-09
475,수요,3.780219e-09
476,공시,3.7719174e-09
477,예정,3.7401566e-09
478,증진,3.739967e-09
479,신뢰,3.734826e-09
480,아동,3.7344736e-09
481,현금,3.7240102e-09
482,거버넌스,3.7232464e-09
483,전담,3.7174457e-09
484,복지,3.7025192e-09
485,청소년,3.696166e-09
486,소비자,3.6913268e-09
487,취득,3.6898997e-09
488,설계,3.6885075e-09
489,동반,3.6877288e-09
490,자동차,3.6669183e-09
491,활성,3.6498808e-09
492,집중,3.6442724e-09
493,광물,3.639792e-09
494,제한,3.6386196e-09
495,관점,3.6345633e-09
496,공장,3.6278465e-09
497,포항,3.622006e-09
498,방역,3.6202277e-09
499,고로,3.6175363e-09
500,대기,3.612391e-09
501,영상,3.6104608e-09
502,기록,3.6047176e-09
503,등록,3.6034498e-09
504,업계,3.6028507e-09
505,벤처,3.6004657e-09
506,고도,3.5978402e-09
507,차량,3.5643795e-09
508,현지,3.5585208e-09
509,필수,3.5518115e-09
510,추구,3.5472707e-09
511,특별,3.543815e-09
512,체제,3.5159422e-09
513,가족,3.512422e-09
514,커머스,3.5091003e-09
515,가장,3.5064096e-09
516,대책,3.505206e-09
517,규범,3.4975054e-09
518,기부,3.4726568e-09
519,무선,3.4709857e-09
520,위원,3.4687824e-09
521,휴직,3.4686036e-09
522,능력,3.4637238e-09
523,검사,3.461574e-09
524,잠재,3.4532097e-09
525,발행,3.4425653e-09
526,전달,3.436659e-09
527,비중,3.4202456e-09
528,순환,3.4185175e-09
529,자유,3.4177672e-09
530,분과,3.414913e-09
531,목적,3.4137824e-09
532,수집,3.4117797e-09
533,부패,3.4093117e-09
534,본사,3.373276e-09
535,의무,3.3683083e-09
536,리더,3.367636e-09
537,신속,3.3674263e-09
538,실현,3.3674101e-09
539,안내,3.3402294e-09
540,단체,3.3320025e-09
541,감지,3.3315202e-09
542,재해,3.3271972e-09
543,접근,3.3216991e-09
544,정의,3.3185752e-09
545,연료,3.3133245e-09
546,그린,3.2903278e-09
547,유통,3.2860195e-09
548,우선,3.2772547e-09
549,예측,3.2765604e-09
550,설명,3.2723528e-09
551,도출,3.2699439e-09
552,홈페이지,3.2348675e-09
553,가입,3.233136e-09
554,유출,3.232904e-09
555,스마트폰,3.2113305e-09
556,재택근무,3.1877412e-09
557,펀드,3.1842602e-09
558,관리자,3.1818836e-09
559,토픽,3.1788736e-09
560,과학,3.1704555e-09
561,플라스틱,3.1467304e-09
562,운용,3.1467189e-09
563,발견,3.1462668e-09
564,자사,3.1456333e-09
565,주도,3.1427525e-09
566,분기,3.1380716e-09
567,실질,3.13782e-09
568,전년,3.1374547e-09
569,자본,3.1371878e-09
570,설정,3.1369844e-09
571,권리,3.1361458e-09
572,서울,3.13481e-09
573,일상,3.134447e-09
574,위원장,3.1199876e-09
575,체결,3.1189074e-09
576,석탄,3.1163532e-09
577,매장,3.1068592e-09
578,차단,3.1061882e-09
579,물리,3.1030873e-09
580,창업,3.1015779e-09
581,가격,3.0970306e-09
582,상태,3.0965588e-09
583,비상,3.0963248e-09
584,부장,3.0962912e-09
585,인지,3.0931864e-09
586,접수,3.0929383e-09
587,요청,3.0927765e-09
588,개정,3.0910956e-09
589,부정,3.0903167e-09
590,브랜드,3.0641312e-09
591,대학,3.0620153e-09
592,학교,3.0552851e-09
593,노동조합,3.0518803e-09
594,대외,3.04818e-09
595,세부,3.0466596e-09
596,독립성,3.0422342e-09
597,연속,3.0188985e-09
598,녹색,3.016797e-09
599,동안,3.0096987e-09
