,keyword,score
574,불공정,8.635123e-10
575,건설,8.630348e-10
576,물리,8.625766e-10
577,순환,8.613512e-10
578,이전,8.613348e-10
579,선언,8.612773e-10
580,포장,8.6106267e-10
581,유용,8.6070745e-10
582,연관,8.601673e-10
583,퇴직,8.595586e-10
584,계열사,8.593e-10
585,배제,8.5916274e-10
586,고충,8.587686e-10
587,수렴,8.579126e-10
588,방법론,8.578591e-10
589,특수,8.578238e-10
590,단기,8.577917e-10
591,개별,8.574086e-10
592,순위,8.567854e-10
593,상충,8.5655627e-10
594,의장,8.560981e-10
595,집행,8.5604107e-10
596,이후,8.0916257e-10
597,투표,8.057833e-10
598,에너지원,8.041515e-10
599,인터넷,7.9898405e-10
600,회수,7.981149e-10
601,기피,7.9766893e-10
602,하도급,7.9414225e-10
603,차이,7.939112e-10
604,다수,7.9373064e-10
605,부패,7.936921e-10
606,수자원,7.9324575e-10
607,훼손,7.912662e-10
608,손해,7.910257e-10
609,동안,7.9055223e-10
610,구분,7.901292e-10
611,자연,7.900086e-10
612,사이트,7.898411e-10
613,기재,7.8846296e-10
614,신뢰도,7.882883e-10
615,메커니즘,7.8816464e-10
616,사슬,7.8789963e-10
617,매수,7.877844e-10
618,예시,7.874539e-10
619,기록,7.871821e-10
620,법인,7.86486e-10
621,만족,7.864063e-10
622,표준,7.862389e-10
623,동등,7.8552914e-10
624,명문화,7.854723e-10
625,관여,7.852501e-10
626,전원,7.8509055e-10
627,대내외,7.8503787e-10
628,사안,7.848995e-10
629,분기,7.848396e-10
630,상세,7.846682e-10
631,부적합,7.845143e-10
632,결합,7.572209e-10
633,옆구리,7.572209e-10
634,의식,7.4831386e-10
635,플라스틱,7.460671e-10
636,화석,7.4340883e-10
637,강제,7.335996e-10
638,아마존,7.314575e-10
639,지향,7.289771e-10
640,남용,7.2728273e-10
641,통신,7.223913e-10
642,수집,7.2219936e-10
643,일반인,7.219169e-10
644,여성,7.2189243e-10
645,확인서,7.21838e-10
646,운송,7.2102574e-10
647,원인,7.2102324e-10
648,휘발유,7.2076795e-10
649,핫라인,7.2065404e-10
650,권익,7.2019435e-10
651,유엔,7.193018e-10
652,해결,7.191543e-10
653,분류,7.189141e-10
654,안정,7.187707e-10
655,각종,7.1841527e-10
656,장소,7.18115e-10
657,해소,7.1750794e-10
658,채권,7.17182e-10
659,공정거래위,7.169935e-10
660,비상사태,7.1665135e-10
661,보상금,7.1651585e-10
662,동의,7.1611383e-10
663,공공,7.1582557e-10
664,균형,7.1565215e-10
665,시나리오,7.151103e-10
666,지양,7.1509726e-10
667,통지,7.1484674e-10
668,감시,7.146377e-10
